Experiment
--------------------------------------------
Parameter = tcp_reordering
Values [0, 10] with stride 1
Flow sizes = [1000000, 100000000] with stride 20000000
--------------------------------------------
1000000 0 2464386
21000000 0 18019637
41000000 0 34795463
61000000 0 51579434
81000000 0 46815715

1000000 1 578949
21000000 1 331856
41000000 1 1495701
61000000 1 2147561
81000000 1 3039636

1000000 2 375276
21000000 2 335897
41000000 2 2135716
61000000 2 1911482
81000000 2 3739724

1000000 3 167150
21000000 3 331894
41000000 3 1119729
61000000 3 1919330
81000000 3 2719841

1000000 4 587124
21000000 4 735521
41000000 4 512030
61000000 4 1091602
81000000 4 4391696

1000000 5 167018
21000000 5 735939
41000000 5 2795501
61000000 5 1095661
81000000 5 2891619

1000000 6 175117
21000000 6 1859647
41000000 6 8395783
61000000 6 683195
81000000 6 3163540

1000000 7 171126
21000000 7 1567668
41000000 7 3623757
61000000 7 1491450
81000000 7 2383662

1000000 8 347143
21000000 8 2639714
41000000 8 1739695
61000000 8 687503
81000000 8 2751861

1000000 9 171001
21000000 9 751897
41000000 9 907711
61000000 9 1915394
81000000 9 2359583

1000000 10 167138
21000000 10 1179748
41000000 10 1735900
61000000 10 3455465
81000000 10 3763397

