Experiment
--------------------------------------------
Parameter = tcp_retries1
Values [1, 10] with stride 1
Flow sizes = [1000000, 100000000] with stride 20000000
--------------------------------------------
1000000 1 164156
21000000 1 335993
41000000 1 1331858
61000000 1 2131798
81000000 1 3335645

1000000 2 166922
21000000 2 744018
41000000 2 503850
61000000 2 3371641
81000000 2 2087886

1000000 3 167253
21000000 3 335912
41000000 3 1743778
61000000 3 2311840
81000000 3 5680541

1000000 4 170355
21000000 4 331821
41000000 4 908045
61000000 4 1095518
81000000 4 2883672

1000000 5 167170
21000000 5 744112
41000000 5 2159740
61000000 5 1495693
81000000 5 1279526

1000000 6 167323
21000000 6 1167970
41000000 6 1739750
61000000 6 1699776
81000000 6 2295709

1000000 7 167320
21000000 7 335862
41000000 7 919921
61000000 7 3535791
81000000 7 2551433

1000000 8 167405
21000000 8 1967758
41000000 8 1948033
61000000 8 2951635
81000000 8 2551628

1000000 9 1131174
21000000 9 340005
41000000 9 2951899
61000000 9 2315502
81000000 9 2099753

1000000 10 627122
21000000 10 1579836
41000000 10 915752
61000000 10 4579641
81000000 10 3555803

