Experiment
--------------------------------------------
Parameter = tcp_syn_retries
Values [1, 10] with stride 1
Flow sizes = [1000000, 100000000] with stride 20000000
--------------------------------------------
1000000 1 168036
21000000 1 335955
41000000 1 1531951
61000000 1 2531657
81000000 1 2979704

1000000 2 167414
21000000 2 748026
41000000 2 2775925
61000000 2 2119573
81000000 2 3155898

1000000 3 167378
21000000 3 1823966
41000000 3 1495815
61000000 3 6499830
81000000 3 3547534

1000000 4 579516
21000000 4 936019
41000000 4 2439685
61000000 4 3135528
81000000 4 2775580

1000000 5 167348
21000000 5 335983
41000000 5 1584015
61000000 5 3719675
81000000 5 4963495

1000000 6 163307
21000000 6 340057
41000000 6 907921
61000000 6 3411544
81000000 6 1679686

1000000 7 163402
21000000 7 1156031
41000000 7 692869
61000000 7 3186845
81000000 7 2895298

1000000 8 579272
21000000 8 331951
41000000 8 2339687
61000000 8 1703960
81000000 8 2279651

1000000 9 167279
21000000 9 1167907
41000000 9 912132
61000000 9 2807443
81000000 9 4459912

1000000 10 163324
21000000 10 332055
41000000 10 1167851
61000000 10 1923630
81000000 10 2915588

